price,latitude,url,longitude,floorSize
"$1,260,000",40.747872,https://www.zillow.com/homedetails/3954-46th-St-Long-Island-City-NY-11104/31934634_zpid/,-73.918042,"1,300"
"$749,000",40.728464,https://www.zillow.com/homedetails/8821-218th-Pl-Jamaica-NY-11427/32150995_zpid/,-73.745299,"1,169"
"$1,000,000",40.910855,https://www.zillow.com/homedetails/225-W-262nd-St-Bronx-NY-10471/122026964_zpid/,-73.897705,"2,260"
"$270,000",40.585813,https://www.zillow.com/homedetails/3655-Shore-Pkwy-APT-3B-Brooklyn-NY-11235/2078514397_zpid/,-73.94026,980
"$460,000",40.603443,https://www.zillow.com/homedetails/3395-Nostrand-Ave-APT-5B-Brooklyn-NY-11229/245004075_zpid/,-73.942313,"1,300"
"$760,000",40.75021,https://www.zillow.com/homedetails/35-48-80th-St-APT-52-Jackson-Heights-NY-11372/72701238_zpid/,-73.886461,"1,200"
"$739,000",40.753112,https://www.zillow.com/homedetails/27124-77th-Ave-Queens-NY-11040/32098892_zpid/,-73.703728,"1,377"
"$632,500",40.748051,https://www.zillow.com/homedetails/2-Tudor-City-Pl-APT-2FN-New-York-NY-10017/244753289_zpid/,-73.971411,710
"$1,925,000",40.575363,https://www.zillow.com/homedetails/285-Exeter-St-Brooklyn-NY-11235/30790941_zpid/,-73.947566,"2,700"
"$730,000",40.554298,https://www.zillow.com/homedetails/211-Cortelyou-Ave-Staten-Island-NY-10312/32353973_zpid/,-74.163356,"1,680"
"$1,400,000",40.606005,https://www.zillow.com/homedetails/533-Valleyview-Pl-Staten-Island-NY-10314/32288490_zpid/,-74.114056,"2,160"
"$308,888",40.747389,https://www.zillow.com/homedetails/224-42-Horace-Harding-Expwy-UNIT-626-Bayside-NY-11364/2077720297_zpid/,-73.756722,700
"$628,000",40.582979,https://www.zillow.com/homedetails/144-Jefferson-Ave-Staten-Island-NY-10306/32329087_zpid/,-74.101412,"1,728"
"$499,000",40.765977,https://www.zillow.com/homedetails/520-E-72nd-St-APT-10N-New-York-NY-10021/83121058_zpid/,-73.952827,650
"$299,995",40.705383,https://www.zillow.com/homedetails/83-60-118th-St-UNIT-1F-Kew-Gardens-NY-11415/246300086_zpid/,-73.834651,
"$555,000",40.697801,https://www.zillow.com/homedetails/175-Adams-St-APT-11F-Brooklyn-NY-11201/82786581_zpid/,-73.987853,675
"$599,000",40.648641,https://www.zillow.com/homedetails/193-E-37th-St-1-Brooklyn-NY-11203/2077761815_zpid/,-73.933736,"1,824"
"$1,450,000",40.607546,https://www.zillow.com/homedetails/2682-E-64th-St-Brooklyn-NY-11234/30788799_zpid/,-73.912034,"2,576"
"$599,000",40.733803,https://www.zillow.com/homedetails/255-15-E-Williston-Ave-Floral-Park-NY-11001/2077734129_zpid/,-73.711474,"1,200"
"$465,000",40.672377,https://www.zillow.com/homedetails/8610-Dumont-Ave-5A-Jamaica-NY-11417/32167609_zpid/,-73.84991,"1,152"
"$545,000",40.632206,https://www.zillow.com/homedetails/1658-Troy-Ave-Brooklyn-NY-11234/2078588796_zpid/,-73.934243,"1,584"
"$120,000",40.848327,https://www.zillow.com/homedetails/495-E-178th-St-APT-2B-Bronx-NY-10457/244430693_zpid/,-73.896647,"55,137"
"$875,000",40.908983,https://www.zillow.com/homedetails/6032-Liebig-Ave-Bronx-NY-10471/29853745_zpid/,-73.901338,"1,672"
"$286,000",40.908944,https://www.zillow.com/homedetails/92-Hamilton-Ave-5ED-Yonkers-NY-10705/2079130760_zpid/,-73.891332,
"$549,999",40.868062,https://www.zillow.com/homedetails/1089-Adee-Ave-Bronx-NY-10469/2077944979_zpid/,-73.850006,
"$750,000",40.642323,https://www.zillow.com/homedetails/329-E-28th-St-Brooklyn-NY-11226/30668821_zpid/,-73.950292,"1,378"
"$1,250,000",40.758278,https://www.zillow.com/homedetails/4038-189th-St-Flushing-NY-11358/2077942140_zpid/,-73.793793,"4,050"
"$769,000",40.567106,https://www.zillow.com/homedetails/254-10th-St-Staten-Island-NY-10306/32337282_zpid/,-74.119053,"1,717"
"$1,348,000",40.709785,https://www.zillow.com/homedetails/10113-75th-Rd-Flushing-NY-11375/32005157_zpid/,-73.843352,"1,568"
"$1,005,000",40.573784,https://www.zillow.com/homedetails/132-Beach-130-St-Belle-Harbor-NY-11694/32227174_zpid/,-73.847351,"1,600"
"$1,950,000",40.609612,https://www.zillow.com/homedetails/37-Bassett-Ave-Brooklyn-NY-11234/30788146_zpid/,-73.905868,"4,233"
"$927,000",40.731866,https://www.zillow.com/homedetails/7531-195th-St-Flushing-NY-11366/32079970_zpid/,-73.776052,"4,000"
"$340,000",40.757813,https://www.zillow.com/homedetails/242-36-Horace-Harding-Expy-F8-Little-Neck-NY-11362/219877124_zpid/,-73.738682,
